day_number,left_lick,right_lick,total,left_nogo,right_nogo,total_nogo,left_lick,right_lick,total,left_nogo,right_nogo,total_nogo,left_lick,right_lick,total,left_nogo,right_nogo,total_nogo
1.0,85.41666666666666,0.0,48.80952380952381,25.0,75.0,50.0,68.42105263157895,10.0,38.46153846153847,7.6923076923076925,77.77777777777779,36.36363636363637,100.0,98.0,98.83720930232558,0.0,0.0,0.0
2.0,84.84848484848484,36.0,55.42168674698795,11.11111111111111,100.0,52.94117647058824,60.0,47.91666666666667,53.40909090909091,66.66666666666666,77.77777777777779,75.0,93.47826086956522,84.84848484848484,89.87341772151899,27.27272727272727,20.0,23.809523809523807
3.0,95.0,62.06896551724138,75.51020408163265,0.0,40.0,19.047619047619047,72.09302325581395,72.97297297297297,72.5,9.090909090909092,11.11111111111111,10.0,91.11111111111111,91.66666666666666,91.35802469135803,14.285714285714285,0.0,10.526315789473683
4.0,100.0,82.92682926829268,89.55223880597015,0.0,0.0,0.0,67.44186046511628,97.22222222222221,81.01265822784809,10.0,9.090909090909092,9.523809523809524,95.34883720930233,100.0,97.59036144578313,10.0,0.0,5.88235294117647
5.0,100.0,22.5,58.108108108108105,20.0,81.25,57.692307692307686,86.48648648648648,88.63636363636364,87.65432098765432,0.0,33.33333333333333,15.789473684210522,90.0,67.44186046511628,78.3132530120482,0.0,11.11111111111111,5.88235294117647
6.0,100.0,42.857142857142854,71.42857142857143,0.0,57.14285714285714,25.0,51.35135135135135,41.17647058823529,45.45454545454545,33.33333333333333,33.33333333333333,33.33333333333333,70.0,54.347826086956516,61.627906976744185,11.11111111111111,20.0,14.285714285714285
7.0,100.0,93.18181818181817,96.29629629629629,0.0,7.6923076923076925,5.263157894736842,70.0,68.42105263157895,69.23076923076923,28.57142857142857,50.0,36.36363636363637,67.5,64.86486486486487,66.23376623376623,33.33333333333333,54.54545454545454,43.47826086956521
8.0,93.47826086956522,97.2972972972973,95.18072289156626,0.0,0.0,0.0,27.500000000000004,100.0,62.82051282051282,75.0,0.0,40.909090909090914,92.85714285714286,90.69767441860465,91.76470588235294,0.0,20.0,13.333333333333334
9.0,90.625,8.88888888888889,42.857142857142854,8.333333333333332,72.72727272727273,39.1304347826087,64.28571428571429,33.33333333333333,49.382716049382715,60.0,66.66666666666666,63.1578947368421,85.71428571428571,87.87878787878788,86.88524590163934,33.33333333333333,33.33333333333333,33.33333333333333
10.0,94.87179487179486,88.88888888888889,92.0,0.0,18.75,12.0,,,,,,,78.37837837837837,97.5609756097561,88.46153846153845,18.181818181818183,0.0,9.090909090909092
11.0,91.66666666666666,94.5945945945946,93.15068493150685,6.25,9.090909090909092,7.4074074074074066,24.324324324324326,56.09756097560976,41.02564102564102,70.0,16.666666666666664,40.909090909090914,34.285714285714285,64.44444444444444,51.24999999999999,50.0,60.0,55.00000000000001
12.0,100.0,89.74358974358975,94.52054794520548,0.0,18.75,11.11111111111111,73.80952380952381,75.0,74.39024390243902,28.57142857142857,25.0,27.77777777777778,51.162790697674424,67.64705882352942,58.44155844155845,27.27272727272727,50.0,39.130434782608695
13.0,0.0,92.5925925925926,31.25,100.0,14.285714285714285,70.0,18.421052631578945,83.33333333333334,50.0,75.0,7.142857142857142,38.46153846153847,64.51612903225806,75.0,71.08433734939759,22.22222222222222,12.5,17.647058823529413
